"obs","Year","Month","AK","AL","AR","AZ","CA","CO","CT","DC","DE","FL","GA","HI","IA","ID","IL","IN","KS","KY","LA","MA","MD","ME","MI","MN","MO","MS","MT","NC","ND","NE","NH","NJ","NM","NV","NY","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VA","VT","WA","WI","WV","WY","IP","CPI","UNRATE","Stock","Interest_rate","stock_vol"
1,1976,1,17.0514552191363,4.07245276153859,-5.91076693651812,0.11396622580808,12.9529572537179,7.18765744177181,7.00110147011971,7.42220207218722,4.69667074322579,7.75951834324874,-3.68428138761145,0.485630636950101,7.48654774189451,5.23277371429899,6.80068229448932,5.84385142462609,7.97511297011223,4.45686929979099,11.1071300091477,-0.467517009485909,5.55435206011142,6.99176708046369,0.889496254148629,5.05647401470313,4.06471453815574,-0.289039825313861,6.52140228408931,5.64782659251263,10.2187468793031,4.98342489395175,1.5602918060433,-1.11493156243172,5.98322775835446,15.8860923311829,0.504682580982289,5.83627882056184,5.06769765716288,16.0814143214845,5.82984942440842,9.85058531867797,4.56321689014866,-0.996376673419643,7.41674108271191,4.57549454337948,4.59704511578819,4.28185563948531,9.29477932481308,8.3874458759247,6.24728274517595,14.7278383522625,11.5110875330679,3.657348468249,6.47774983163881,-0.199999999999999,28.5812461826301,-2.26387096774194,2.70474741958571
2,1976,2,15.9133386782194,4.85519057466467,-8.0272319527104,-0.153823347672442,13.5315764306601,7.12964476790496,5.56225234493341,8.95495201529371,4.34114682576949,3.79229479821293,-2.70858790137413,1.54307311605647,7.61346087148227,6.29623594602499,7.83819978816595,4.76770829038032,7.59747122289288,4.13133460312653,10.3799368550171,0.590314415659279,6.16658535069648,6.48457693921349,0.469509688393898,4.24539128705788,1.97444480242579,1.72063276890938,7.78376412614957,4.4348147321324,11.3930687753884,6.49973132410624,2.49444788572863,1.34664960214727,5.05672285960926,13.685702308106,1.96036301092315,6.03284595894523,5.66843712035212,14.1467831051114,6.14212583000881,8.17295286909977,2.45170098560432,0.481098227217338,7.33818253830012,5.1507042210293,4.87991568343294,3.38750668657001,7.94046311969154,8.56718107171167,5.11204573398865,11.1857608583127,11.0330689470515,6.96210589593384,6.08482604173892,-0.399999999999999,23.5088098837405,-1.47002463054187,2.70474741958571
3,1976,3,14.7286013280736,5.35128945180766,-9.13200045003732,-0.296199346294516,13.7051739167191,6.85732366215502,4.50062441203075,10.4236648143613,3.76467843042005,-0.205045616909166,-2.31223915321883,2.47435000068944,7.97015448643292,6.97301313803988,8.39530018618002,3.70836776179398,7.33490634576818,4.03693678872383,9.61610529838915,1.76135355998814,6.67519578250285,6.03720666885042,0.461025718565421,3.92058054401676,1.17296077636603,2.81070555536933,9.07282263797707,3.52083357943413,12.1197939423774,7.84340717234176,3.13128115220064,3.37120624219354,4.35538659303698,11.4234605073671,2.10119835844458,6.2873506934389,6.41585584469248,12.5105332858777,6.02500473604316,6.93086238262567,0.634050188662101,1.96522477936033,7.01663282238129,5.96669772833944,5.52312655327829,3.13579948524338,6.50423799333718,8.69073123673217,4.48023367429016,8.04485627438087,10.6557689111548,8.26945338721114,5.88405000229334,-1,19.6985735414133,-0.699999999999999,2.75851198321256
4,1976,4,13.4994835857453,5.29954686689858,-8.23571196888678,-0.0829085371276039,13.4345955977744,6.53950662796314,3.99942864608935,11.4237445287846,3.21993948291392,-3.04520122236616,-2.26895458173226,2.94870896245113,8.52361960219951,7.2303290854734,8.85357036311396,3.21605710076921,7.08001727066253,4.12930198516527,9.32002531887821,2.73380300547266,7.20415524631913,5.44909792798179,0.90791662122996,3.93643676296073,1.52779288540818,2.78608895304372,10.1749402805783,3.09470804150361,12.4046775406548,8.89022503241536,3.4258517942106,4.74792399191033,4.03527936363514,9.35630785574098,1.65728296005562,6.61492187959605,7.202210149342,11.3218506171761,5.83361043097695,6.03343287758137,-0.26474523903472,3.31764720965443,6.83916952903145,6.63413049149185,6.493578330986,3.10368171516628,5.18057267347064,8.8746057975518,4.49754562214589,5.27273063573646,10.42268505166,8.58172167857369,5.68438989765289,-1.1,18.9414709054366,-0.676666666666667,2.77837445257603
5,1976,5,12.1398252863499,4.98624408636028,-5.09701506308224,0.484179154452186,13.2444362484576,6.30307083712686,4.09135981002041,11.8579705804995,2.73024583180207,-2.60496708029252,-1.90218829540573,3.02080294334606,9.30800023032917,7.2321863318378,9.98021603803493,3.59642241225059,6.75510687355168,4.11447340240357,9.51183443057405,3.15479441039116,7.76644458669272,4.38349288984585,1.48545546972499,3.89709435027995,2.35822914891948,1.93092164053834,10.9583386981775,2.87246051608883,12.3410614279301,9.5151132660493,3.66206981508139,5.70278537248255,4.09888444148113,7.74948177517811,1.34202608738452,6.9446722613673,7.96614195673128,10.6978483798924,5.71811325708891,5.45892604868096,-0.0541629711935284,4.37921050522162,6.67503844825564,7.07626001518988,7.65804833314718,3.17108972419243,4.01978679239205,9.41042872478669,4.99632806901544,2.84024225484987,10.4475843669692,9.29110254992466,6.029223025612,-1.6,12.0523953421856,0.0693548387096774,2.7651725402174
6,1976,6,10.6509832479364,4.92963991808268,-1.00281691482495,1.37647922935835,13.9279850918439,6.13918440184941,4.74557241155769,11.7858877845861,2.22933437020782,-0.194581288924263,-0.665518609656065,2.9876391900135,9.95140015225194,7.1557856890679,11.3396953526755,4.56921162568198,6.57080002558272,3.84107345148318,9.56541578184282,3.2050910540197,8.36312844095863,2.55745611832576,2.41824140610289,3.77835656076174,3.36120362578291,0.841361626147216,11.3874566484831,2.88547760046019,11.9897564290348,9.60090834673335,4.12803656603158,6.08288149798339,4.35677857754412,6.78462740424103,0.953140243307762,6.94278864833632,8.64662081577916,10.6658576733138,5.82347084221334,5.22563558190768,0.72085604123387,4.98197044528615,6.18267448213299,7.48921450387533,8.83611373705557,3.3094671905143,2.92315744567646,10.2622307458955,5.48593908651834,0.834394738785349,10.8082725022296,8.76793974031835,5.80925568317456,-1.2,9.69052019034183,-0.0716666666666663,2.9002054702885
7,1976,7,9.14904312269873,5.55497659586659,2.83578176123901,2.66110188699671,14.7783935284523,6.03681218487848,5.64799248586842,11.3782787854566,1.93941821509476,1.57389471968267,1.10291297620318,3.17259707750885,10.2943277257403,6.89636096131979,11.8107487631711,5.69978186399797,6.47856533941384,3.47989686243266,9.26214687848143,3.4195247299933,8.87758037516369,0.0826531683148746,3.20044585082859,3.88898388723883,4.215482614825,0.177662260985294,11.5117346224164,3.10255223927718,11.4034168689904,9.3984868975778,4.87735914259064,5.77124737437253,4.81605212366471,6.36769974892783,0.299224895101806,6.89637836446724,9.06799713751589,10.9924536206875,5.79397970375455,5.27487272095827,1.31532321998551,5.27583631341826,5.53681230990201,7.75916459203597,10.1666861692275,3.37254144791022,1.94591035843039,11.3426857213342,5.7965127102533,-0.646141580328584,11.3521371919865,8.29747184684787,5.40672212702758,-0.8,11.669374920095,-0.789354838709677,2.88695481568141
8,1976,8,7.81790460771246,6.75205224290286,6.09235150800208,4.24344533505315,14.9157845544319,6.28848358802535,6.26597234997806,10.9076891449678,1.89437577630603,2.81053542421389,2.59921627188129,3.62508325326633,10.7261851999765,6.51558571809315,11.7410191424042,6.8099723553807,6.26088852853204,3.43822265599783,8.94936014951786,3.93246147495949,8.93551945094246,-2.74892338330357,3.10561067746883,4.10603718632658,4.47515064133341,0.14549329493063,11.4891317210908,3.18285499826411,10.6673726350528,9.19048398977913,5.73722382823198,5.31856250284001,5.57042043966105,6.21047422933734,-0.270085858230058,7.12839863257431,9.26776500864024,11.5910700378182,5.44437015118831,5.55890613851792,1.5077661136655,5.70125349778009,5.05124949980792,7.61932516497252,11.5540935117497,3.62089900771142,1.32173152769942,12.4488404404067,6.11494701993308,-1.54501670995964,11.8876629653123,8.00097029125967,5.56197152750934,-0.600000000000001,18.8400656429627,-0.844516129032258,2.87877589612153
9,1976,9,6.86665160682153,8.01204601939329,8.62959121615722,5.8219067998082,14.7445866951655,6.95882584362609,6.44219185665491,10.5057475276631,1.99158879291459,3.52709218507016,3.70111471148351,4.0457097725602,11.5210922620058,6.35057257951225,11.5794867656633,7.7213026854901,6.30418213201422,3.85403226192283,8.81645236128946,4.45053608651738,8.35468418569348,-5.4951264859978,3.02459685105939,4.35822691813253,4.77119289708944,0.567564635805017,11.4015834387181,3.1228570548655,9.94168289482736,8.96822121215087,6.40600607283301,4.98541911914765,6.69552722946879,6.15299292449328,-0.714871806324302,7.36576365884798,9.44850539847007,12.5451425669855,5.26531915698941,6.02709203612164,1.61457234290433,6.37641078822502,4.69946656967705,7.46847912146961,12.5439223593748,4.09362193545384,1.14614307629658,13.2977815300952,6.29170094587105,-1.72601920534679,12.4644131489483,7.04328992088671,5.34886849509862,-0.800000000000001,22.4547703792934,-0.987,3.05210220996062
10,1976,10,6.33863785325594,8.88729299235028,10.3539498548348,7.02669093947731,14.9243733698078,7.78534883552462,6.64321370701696,10.2191161321963,2.24883200330397,3.35471777924132,4.20179808879442,4.13521460221107,12.4038385578882,6.36599831361156,11.2699795280946,8.04357689800182,6.919033175942,4.46388709537958,8.88073876292222,4.83843456948596,7.35669949010019,-7.40492768932791,3.81949393282376,5.03312683845115,5.51166636339289,1.17750939411007,11.3538025522191,3.22585706082126,9.46547897959871,8.76484807297006,6.76130572286636,4.66216965889511,8.09451376178721,6.22838016347886,-0.999496234534776,7.15213789589848,9.49065578456689,13.8693688944951,6.30735984359076,6.64809954558156,2.0359880215653,7.01895894694521,4.15407780146689,7.71433922864295,12.8124056899629,4.53713117059581,1.3025867996298,13.7487534795645,6.29887188943829,-1.13291905237309,13.2377030176819,6.58492088164936,5.32040360634647,-0.7,14.9609082233199,-0.791290322580646,3.0710331410679
