point_linear,point_high,point_low,linear1,linear2,linear3,H1,H2,H3,L1,L2,L3
-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
-1.113158,-1.521599,-0.594948,-1.245295,-1.113158,-0.981022,-1.632281,-1.521599,-1.410917,-0.814874,-0.594948,-0.375021
-0.647210,-1.182479,-0.225223,-0.895816,-0.647210,-0.398604,-1.406929,-1.182479,-0.958029,-0.557202,-0.225223, 0.106757
-0.659799,-0.974563,-0.502944,-0.873977,-0.659799,-0.445621,-1.290944,-0.974563,-0.658182,-0.733967,-0.502944,-0.271920
-0.744979,-0.876021,-0.649121,-0.918483,-0.744979,-0.571475,-1.251582,-0.876021,-0.500460,-0.925002,-0.649121,-0.373241
-0.611772,-0.596209,-0.388315,-0.783806,-0.611772,-0.439739,-0.959723,-0.596209,-0.232695,-0.661370,-0.388315,-0.115259
-0.468879,-0.202729,-0.220412,-0.660530,-0.468879,-0.277228,-0.539279,-0.202729, 0.133821,-0.515646,-0.220412, 0.074823
-0.270200,-0.067568,-0.195291,-0.484403,-0.270200,-0.055997,-0.383661,-0.067568, 0.248526,-0.495045,-0.195291, 0.104464
-0.172333,-0.083738,-0.176515,-0.336630,-0.172333,-0.008035,-0.328326,-0.083738, 0.160851,-0.437911,-0.176515, 0.084881
-0.277257,-0.262215,-0.195414,-0.407886,-0.277257,-0.146629,-0.485271,-0.262215,-0.039159,-0.427743,-0.195414, 0.036915
-0.113713,-0.347320, 0.076885,-0.248661,-0.113713, 0.021234,-0.570263,-0.347320,-0.124377,-0.151908, 0.076885, 0.305678
 0.129943,-0.001284, 0.236266, 0.000227, 0.129943, 0.259659,-0.197753,-0.001284, 0.195184,-0.003257, 0.236266, 0.475789
 0.088919, 0.260889,-0.008393,-0.028794, 0.088919, 0.206631,-0.020092, 0.260889, 0.541870,-0.198571,-0.008393, 0.181786
 0.059433, 0.347656,-0.146741,-0.068718, 0.059433, 0.187584, 0.027903, 0.347656, 0.667408,-0.349047,-0.146741, 0.055566
 0.175286, 0.333644, 0.028992, 0.032732, 0.175286, 0.317840, 0.036879, 0.333644, 0.630409,-0.197884, 0.028992, 0.255867
 0.262969, 0.315160, 0.223234, 0.081538, 0.262969, 0.444400, 0.052883, 0.315160, 0.577437,-0.050241, 0.223234, 0.496710
 0.363497, 0.363529, 0.355117, 0.175209, 0.363497, 0.551786, 0.110231, 0.363529, 0.616826, 0.078624, 0.355117, 0.631611
 0.498162, 0.546534, 0.435304, 0.295336, 0.498162, 0.700988, 0.285897, 0.546534, 0.807171, 0.120165, 0.435304, 0.750443
 0.475445, 0.701462, 0.325476, 0.252960, 0.475445, 0.697931, 0.420234, 0.701462, 0.982690,-0.008382, 0.325476, 0.659333
 0.410308, 0.647936, 0.193846, 0.179821, 0.410308, 0.640795, 0.286087, 0.647936, 1.009785,-0.118139, 0.193846, 0.505831
 0.373128, 0.452691, 0.212472, 0.128865, 0.373128, 0.617392, 0.030610, 0.452691, 0.874772,-0.083188, 0.212472, 0.508132
