date,log_gdp,log_cpi,ffr,rrshock,shadow_rate,employment,real_wage,house_price,r_investment,consumption
1975-01-01,862.1861807766934,689.2844666246383,6.303333333,-0.548171457,6.303333333,76953,4.64,71.08122322,149.761,3072.279759
1975-04-01,862.8981762784952,692.1263629006929,5.42,-0.251304597,5.42,76535,4.69,71.85498586,152.501,3118.672199
1975-07-01,864.5953445237966,695.387521459569,6.16,-0.225913064,6.16,77050,4.77,70.78201285,162.091,3143.488886
1975-10-01,865.9328836068862,698.1284512270253,5.413333333,-0.325379171,5.413333333,77747,4.85,70.55772408,169.799,3168.671527
1976-01-01,868.1567318969416,701.2025200157934,4.826666667,-0.805127688,4.826666667,78789,4.93,71.2669229,186.021,3214.880056
1976-04-01,868.8877539844,702.9530335908058,5.196666667,-0.167796703,5.196666667,79327,5.01,72.2913364,192.795,3245.576612
1976-07-01,869.4349598427739,705.5140265895195,5.283333333,-0.207295444,5.283333333,79714,5.1,72.35393863,189.989,3280.951064
1976-10-01,870.1571964023259,708.3723361803917,4.873333333,-0.211965763,4.873333333,80200,5.2,72.94128522,212.46,3321.248939
1977-01-01,871.3317549749652,711.3304961895299,4.66,-0.540203274,4.66,81023,5.29,73.68926034,219.77,3350.158268
1977-04-01,873.2572115885029,713.5687347028144,5.156666667,-0.39802229,5.156666667,82101,5.39,75.28830744,248.168,3364.805333
1977-07-01,875.0454821889318,715.9991504499619,5.82,-0.22319431,5.82,83147,5.48,76.6693502,252.711,3396.138468
1977-10-01,875.0476679369677,718.9016783630996,6.513333333,-0.237199816,6.513333333,84128,5.58,78.27268586,246.144,3444.211816
1978-01-01,875.3663229336692,721.081845347222,6.756666667,-0.198291155,6.756666667,85001,5.69,79.35779576,253.073,3484.289748
1978-04-01,879.157799576387,725.233739856673,7.283333333,-0.172835915,7.283333333,86540,5.82,80.08987598,268.738,3530.384782
1978-07-01,880.1582950146051,727.3925004482659,8.1,-0.418170404,8.1,87436,5.93,80.90171088,274.614,3557.170364
1978-10-01,881.493484617877,730.0675359588007,9.583333333,0.215599925,9.583333333,88339,6.06,81.82635094,274.89,3587.050455
1979-01-01,881.6731104815808,732.4555896754047,10.07333333,-0.120376215,10.07333333,89114,6.18,82.31973263,269.014,3617.933542
1979-04-01,881.7799731943634,735.0901454057989,10.18,-0.048487701,10.18,89771,6.27,82.53967156,266.312,3635.258359
1979-07-01,882.5200989618461,738.5168886402886,10.94666667,0.950590271,10.94666667,90281,6.4,82.29875261,263.81,3667.785146
1979-10-01,882.7698618288277,741.1616708946494,13.57666667,0.125986481,13.57666667,90575,6.51,82.0324296,253.781,3698.091352
1980-01-01,883.0838873277671,743.9735556820525,15.04666667,1.825985819,15.04666667,90892,6.63,80.75900918,235.851,3701.555917
