"quarter","year","qtr","C"
"1981Q1",1981,1,88.995
"1981Q2",1981,2,88.4913333333333
"1981Q3",1981,3,89.5786666666667
"1981Q4",1981,4,90.004
"1982Q1",1982,1,89.2813333333333
"1982Q2",1982,2,90.1713333333333
"1982Q3",1982,3,90.904
"1982Q4",1982,4,90.847
"1983Q1",1983,1,90.9593333333333
"1983Q2",1983,2,89.962
"1983Q3",1983,3,90.051
"1983Q4",1983,4,89.768
"1984Q1",1984,1,90.058
"1984Q2",1984,2,89.6483333333333
"1984Q3",1984,3,89.4493333333333
"1984Q4",1984,4,89.584
"1985Q1",1985,1,89.6593333333333
"1985Q2",1985,2,90.4293333333333
"1985Q3",1985,3,90.2973333333333
"1985Q4",1985,4,90.375
"1986Q1",1986,1,90.1513333333333
"1986Q2",1986,2,89.2486666666667
"1986Q3",1986,3,89.147
"1986Q4",1986,4,89.1923333333333
"1987Q1",1987,1,88.863
"1987Q2",1987,2,88.656
"1987Q3",1987,3,89.2263333333333
"1987Q4",1987,4,89.4403333333333
"1988Q1",1988,1,89.8413333333333
"1988Q2",1988,2,89.704
"1988Q3",1988,3,90.3376666666667
"1988Q4",1988,4,90.7843333333333
"1989Q1",1989,1,89.6656666666667
"1989Q2",1989,2,89.4533333333333
"1989Q3",1989,3,88.864
"1989Q4",1989,4,89.2186666666667
"1990Q1",1990,1,89.3536666666667
"1990Q2",1990,2,89.338
"1990Q3",1990,3,89.661
"1990Q4",1990,4,89.612
"1991Q1",1991,1,89.871
"1991Q2",1991,2,89.6493333333333
"1991Q3",1991,3,89.1863333333333
"1991Q4",1991,4,89.451
"1992Q1",1992,1,89.665
"1992Q2",1992,2,88.7586666666667
"1992Q3",1992,3,88.7106666666667
"1992Q4",1992,4,88.9523333333333
"1993Q1",1993,1,89.0266666666667
"1993Q2",1993,2,89.0943333333333
"1993Q3",1993,3,89.6966666666667
"1993Q4",1993,4,90.0596666666667
"1994Q1",1994,1,90.117
"1994Q2",1994,2,90.4113333333333
"1994Q3",1994,3,90.144
"1994Q4",1994,4,90.6633333333333
"1995Q1",1995,1,90.9353333333333
"1995Q2",1995,2,91.7253333333333
"1995Q3",1995,3,91.7743333333333
"1995Q4",1995,4,91.483
"1996Q1",1996,1,91.889
"1996Q2",1996,2,91.8293333333333
"1996Q3",1996,3,91.7193333333333
"1996Q4",1996,4,91.62
"1997Q1",1997,1,91.313
"1997Q2",1997,2,91.2106666666667
"1997Q3",1997,3,91.446
"1997Q4",1997,4,91.395
"1998Q1",1998,1,91.3133333333333
"1998Q2",1998,2,91.4236666666667
"1998Q3",1998,3,91.4273333333333
"1998Q4",1998,4,91.1073333333333
"1999Q1",1999,1,91.1436666666667
"1999Q2",1999,2,91.335
"1999Q3",1999,3,91.108
"1999Q4",1999,4,91.5606666666667
"2000Q1",2000,1,91.685
"2000Q2",2000,2,92.286
"2000Q3",2000,3,92.1286666666667
"2000Q4",2000,4,91.623
"2001Q1",2001,1,90.6893333333333
"2001Q2",2001,2,90.1063333333333
"2001Q3",2001,3,89.9223333333333
"2001Q4",2001,4,89.7086666666667
"2002Q1",2002,1,89.1923333333333
"2002Q2",2002,2,90.1886666666667
"2002Q3",2002,3,89.8083333333333
"2002Q4",2002,4,92.7603333333333
"2003Q1",2003,1,94.3036666666667
"2003Q2",2003,2,94.546
"2003Q3",2003,3,93.8366666666667
"2003Q4",2003,4,94.7993333333333
"2004Q1",2004,1,94.8383333333333
"2004Q2",2004,2,94.3836666666667
"2004Q3",2004,3,93.6226666666667
"2004Q4",2004,4,92.5113333333333
"2005Q1",2005,1,92.2443333333333
"2005Q2",2005,2,91.7196666666667
"2005Q3",2005,3,93.459
"2005Q4",2005,4,93.16
"2006Q1",2006,1,93.315
"2006Q2",2006,2,93.4743333333333
"2006Q3",2006,3,93.0906666666667
"2006Q4",2006,4,92.9766666666667
"2007Q1",2007,1,92.5433333333333
"2007Q2",2007,2,92.3636666666667
"2007Q3",2007,3,92.3673333333333
"2007Q4",2007,4,92.2523333333333
"2008Q1",2008,1,92.5176666666667
"2008Q2",2008,2,92.2816666666667
"2008Q3",2008,3,92.553
"2008Q4",2008,4,92.5296666666667
"2009Q1",2009,1,92.7516666666667
"2009Q2",2009,2,92.0846666666667
"2009Q3",2009,3,91.4066666666667
"2009Q4",2009,4,89.6836666666667
"2010Q1",2010,1,90.9843333333333
"2010Q2",2010,2,91.5983333333333
"2010Q3",2010,3,91.637
"2010Q4",2010,4,90.509
"2011Q1",2011,1,90.3363333333333
"2011Q2",2011,2,89.7266666666667
"2011Q3",2011,3,89.276
"2011Q4",2011,4,90.2063333333333
"2012Q1",2012,1,89.838
"2012Q2",2012,2,91.705
"2012Q3",2012,3,91.91
"2012Q4",2012,4,92.3336666666667
"2013Q1",2013,1,93.6706666666667
"2013Q2",2013,2,94.1323333333333
"2013Q3",2013,3,94.2906666666667
"2013Q4",2013,4,94.2573333333333
"2014Q1",2014,1,93.855
"2014Q2",2014,2,93.3016666666667
"2014Q3",2014,3,92.4976666666667
"2014Q4",2014,4,92.6416666666667
"2015Q1",2015,1,93.1613333333333
"2015Q2",2015,2,93.7016666666667
"2015Q3",2015,3,95.9486666666667
"2015Q4",2015,4,95.7833333333333
"2016Q1",2016,1,96.3293333333333
"2016Q2",2016,2,96.8376666666667
"2016Q3",2016,3,96.4673333333333
"2016Q4",2016,4,96.5126666666667
