"date","year","month","C_t"
1981-01-01,1981,1,89.168
1981-02-01,1981,2,89.02
1981-03-01,1981,3,88.797
1981-04-01,1981,4,88.122
1981-05-01,1981,5,88.297
1981-06-01,1981,6,89.055
1981-07-01,1981,7,89.24
1981-08-01,1981,8,89.828
1981-09-01,1981,9,89.668
1981-10-01,1981,10,90.003
1981-11-01,1981,11,90.177
1981-12-01,1981,12,89.832
1982-01-01,1982,1,89.46
1982-02-01,1982,2,89.207
1982-03-01,1982,3,89.177
1982-04-01,1982,4,89.535
1982-05-01,1982,5,90.285
1982-06-01,1982,6,90.694
1982-07-01,1982,7,91.082
1982-08-01,1982,8,90.712
1982-09-01,1982,9,90.918
1982-10-01,1982,10,90.824
1982-11-01,1982,11,90.746
1982-12-01,1982,12,90.971
1983-01-01,1983,1,90.903
1983-02-01,1983,2,91.082
1983-03-01,1983,3,90.893
1983-04-01,1983,4,90.331
1983-05-01,1983,5,89.538
1983-06-01,1983,6,90.017
1983-07-01,1983,7,90.161
1983-08-01,1983,8,90.128
1983-09-01,1983,9,89.864
1983-10-01,1983,10,89.888
1983-11-01,1983,11,89.676
1983-12-01,1983,12,89.74
1984-01-01,1984,1,89.916
1984-02-01,1984,2,90.089
1984-03-01,1984,3,90.169
1984-04-01,1984,4,89.849
1984-05-01,1984,5,89.783
1984-06-01,1984,6,89.313
1984-07-01,1984,7,89.082
1984-08-01,1984,8,89.371
1984-09-01,1984,9,89.895
1984-10-01,1984,10,89.866
1984-11-01,1984,11,89.53
1984-12-01,1984,12,89.356
1985-01-01,1985,1,89.248
1985-02-01,1985,2,89.748
1985-03-01,1985,3,89.982
1985-04-01,1985,4,90.389
1985-05-01,1985,5,90.504
1985-06-01,1985,6,90.395
1985-07-01,1985,7,90.466
1985-08-01,1985,8,90.127
1985-09-01,1985,9,90.299
1985-10-01,1985,10,90.542
1985-11-01,1985,11,90.378
1985-12-01,1985,12,90.205
1986-01-01,1986,1,90.198
1986-02-01,1986,2,90.137
1986-03-01,1986,3,90.119
1986-04-01,1986,4,89.442
1986-05-01,1986,5,89.019
1986-06-01,1986,6,89.285
1986-07-01,1986,7,89.397
1986-08-01,1986,8,89.055
1986-09-01,1986,9,88.989
1986-10-01,1986,10,89.019
1986-11-01,1986,11,89.162
1986-12-01,1986,12,89.396
1987-01-01,1987,1,89.293
1987-02-01,1987,2,88.609
1987-03-01,1987,3,88.687
1987-04-01,1987,4,88.493
1987-05-01,1987,5,88.5
1987-06-01,1987,6,88.975
1987-07-01,1987,7,89.123
1987-08-01,1987,8,89.163
1987-09-01,1987,9,89.393
1987-10-01,1987,10,89.113
1987-11-01,1987,11,89.631
1987-12-01,1987,12,89.577
1988-01-01,1988,1,89.478
1988-02-01,1988,2,90.062
1988-03-01,1988,3,89.984
1988-04-01,1988,4,89.805
1988-05-01,1988,5,89.589
1988-06-01,1988,6,89.718
1988-07-01,1988,7,90.141
1988-08-01,1988,8,90.184
1988-09-01,1988,9,90.688
1988-10-01,1988,10,90.877
1988-11-01,1988,11,91.033
1988-12-01,1988,12,90.443
1989-01-01,1989,1,89.686
1989-02-01,1989,2,89.499
1989-03-01,1989,3,89.812
1989-04-01,1989,4,89.817
1989-05-01,1989,5,89.344
1989-06-01,1989,6,89.199
1989-07-01,1989,7,88.901
1989-08-01,1989,8,88.831
1989-09-01,1989,9,88.86
1989-10-01,1989,10,88.565
1989-11-01,1989,11,89.539
1989-12-01,1989,12,89.552
1990-01-01,1990,1,89.353
1990-02-01,1990,2,89.361
1990-03-01,1990,3,89.347
1990-04-01,1990,4,89.053
1990-05-01,1990,5,88.917
1990-06-01,1990,6,90.044
