horizon,spec,point,se,ci_low,ci_high,dep
0,linear,-0.04372795569009517,0.11445627968457722,-0.15754990530528334,0.070093993925093,GDP
1,linear,0.032474396606763115,0.14436592872787063,-0.11109143928356525,0.1760402324970915,GDP
2,linear,0.1954425686771072,0.2547698693662346,-0.05791533631846385,0.4488004736726782,GDP
3,linear,0.45718612274377923,0.31666855235926994,0.1422725844854827,0.7720996610020758,GDP
4,linear,0.41711044965338995,0.358887982550384,0.06021146621691614,0.7740094330898637,GDP
5,linear,0.4293261208666397,0.3580127530690178,0.07329751628752806,0.7853547254457514,GDP
6,linear,0.3678285139626974,0.3744875555990171,-0.004583587866695993,0.7402406157920908,GDP
7,linear,0.3396384287253905,0.31918338012082964,0.022224000174696168,0.6570528572760849,GDP
8,linear,0.37784480251566827,0.2654565222603645,0.11385947130440338,0.6418301337269332,GDP
9,linear,0.26634745895779377,0.2670229427098977,8.043885820696595e-4,0.5318905293335179,GDP
10,linear,0.4010426080774378,0.26287443938008115,0.13962504954157162,0.662460166613304,GDP
11,linear,0.31482794343405257,0.29598200486821175,0.020486305404631755,0.6091695814634734,GDP
12,linear,0.3471202068977717,0.3461428372679923,0.0028957336600259342,0.6913446801355174,GDP
13,linear,0.22238987503384955,0.3352981514398096,-0.11105001489112687,0.555829764958826,GDP
14,linear,0.1417564016794356,0.3729312411680543,-0.2291080109953338,0.512620814354205,GDP
15,linear,0.08547205990678562,0.3571305631247137,-0.2696792439277244,0.4406233637412957,GDP
16,linear,0.016983704625770576,0.428492325645906,-0.40913386650768147,0.44310127575922265,GDP
17,linear,0.07879211646967468,0.38281309013733944,-0.30189937881328843,0.45948361175263785,GDP
18,linear,-0.016576114391135786,0.33788096069692125,-0.352584499342674,0.31943227056040246,GDP
19,linear,0.017816916463700847,0.286624227903518,-0.2672188064938616,0.30285263942126334,GDP
20,linear,-0.08926365058267158,0.27330652138480555,-0.36105547530642657,0.18252817414108338,GDP
0,high,-0.2462334980275337,0.14694356599069305,-0.39236268561393106,-0.10010431044113635,GDP
0,low,0.11078677703909146,0.13824158161948355,-0.02668865358978853,0.24826220766797144,GDP
1,high,-0.032356026387974135,0.1895021812542514,-0.220807964421708,0.15609591164575973,GDP
1,low,0.09217178120093145,0.17832654762598643,-0.0851664598713103,0.2695100222731732,GDP
2,high,-0.07575974278653799,0.258553818742448,-0.3328806260689511,0.18136114049587512,GDP
2,low,0.31287464146991006,0.31500709758819245,-3.8664999369203423e-4,0.6261359329335121,GDP
3,high,0.08700422998035007,0.27913450273165974,-0.19058327673698344,0.3645917366976836,GDP
3,low,0.5511539191757143,0.37375860541188044,0.1794667276063862,0.9228411107450425,GDP
4,high,-0.26363556052068976,0.317223694555843,-0.5791011643126708,0.05183004327129126,GDP
4,low,0.6224832106807896,0.3959420320671193,0.22873553559755377,1.0162308857640254,GDP
5,high,-0.0994178597093605,0.36326237162642805,-0.46066698884673296,0.26183126942801194,GDP
5,low,0.597882949689547,0.3420752061136564,0.2577035643192202,0.9380623350598738,GDP
6,high,-0.2125614479510824,0.35380372037604274,-0.5644043467879774,0.13928145088581262,GDP
6,low,0.6163266496191911,0.3710780465620753,0.24730516092945937,0.9853481383089229,GDP
7,high,-0.02545757080460004,0.28728134279338224,-0.3111467668445625,0.2602316252353624,GDP
7,low,0.5301705691052793,0.34150379519700297,0.1905594278255705,0.8697817103849881,GDP
8,high,0.13506735647001838,0.298966184421248,-0.1622419224408327,0.43237663538086946,GDP
8,low,0.6045173408188141,0.35999195782451154,0.24652050046811552,0.9625141811695128,GDP
9,high,-0.021803387342534043,0.2654696184170115,-0.2858017421300163,0.2421949674449482,GDP
9,low,0.4694980225917936,0.4375455958850221,0.03437735550022425,0.9046186896833629,GDP
10,high,0.27266784614316575,0.32468834174037164,-0.05022103488684926,0.5955567271731808,GDP
10,low,0.5768379532205181,0.4108040388988092,0.1683106382831911,0.9853652681578451,GDP
11,high,0.016509243803570703,0.2916237911664096,-0.27349833425338016,0.3065168218605216,GDP
11,low,0.45220808485889463,0.4194904966819494,0.03504245350195512,0.8693737162158341,GDP
12,high,-0.09906576029145482,0.3153845993892433,-0.4127024613970378,0.2145709408141282,GDP
12,low,0.4195620320003144,0.36393125964676726,0.057647721898131055,0.7814763421024977,GDP
13,high,-0.329348312780271,0.37540917659416373,-0.7026769278736196,0.04398030231307759,GDP
13,low,0.4057400116141079,0.36950066772916124,0.03828715973957575,0.77319286348864,GDP
14,high,-0.35393722935832156,0.45497770964073164,-0.8063933993952654,0.09851894067862227,GDP
14,low,0.4022000682793679,0.33833995224119706,0.06573523556829797,0.7386649009904378,GDP
15,high,-0.4612370366846705,0.4300999508021103,-0.8889533233279562,-0.03352075004138477,GDP
15,low,0.48580083958867165,0.3648273997810963,0.12299535586544413,0.8486063233118992,GDP
16,high,-0.25240657275891837,0.5097852045725146,-0.7593664881897524,0.2545533426719157,GDP
16,low,0.29744796587198546,0.38856475273266233,-0.08896331562045917,0.68385924736443,GDP
17,high,0.014690808398722437,0.48687863672623294,-0.4694894900600977,0.4988711068575426,GDP
17,low,0.16621985418373642,0.3323323036969308,-0.16427062507293433,0.49671033344040716,GDP
18,high,-0.053509369166111855,0.44779519896827863,-0.49882283484359663,0.3918040965113729,GDP
18,low,0.08497928120197609,0.28038308651012517,-0.19384988949670015,0.36380845190065236,GDP
19,high,0.3873213126632404,0.38801630943268983,0.001455434933946953,0.7731871903925338,GDP
19,low,0.002303016665085049,0.21037882231989016,-0.20690986165131375,0.21151589498148388,GDP
20,high,0.16816189772924867,0.4710979162867097,-0.30032513888575835,0.6366489343442556,GDP
20,low,-0.03171133879926722,0.2660063919186286,-0.29624349222693075,0.2328208146283963,GDP
0,linear,0.005255474261622567,0.07870282034177467,-0.0730111658580962,0.08352211438134133,CPI (PCE)
1,linear,0.13759643088339452,0.14665475223491292,-0.008245543586787862,0.2834384053535769,CPI (PCE)
2,linear,0.13516169670097838,0.13783854322654426,-0.001912929220806936,0.2722363226227637,CPI (PCE)
3,linear,0.21615591411543494,0.1927951058973645,0.024429301211541576,0.4078825270193283,CPI (PCE)
4,linear,0.15987064892336694,0.21303240132508836,-0.05198110195347111,0.371722399800205,CPI (PCE)
5,linear,0.14520725108471302,0.1902618054948228,-0.04400010126333431,0.33441460343276036,CPI (PCE)
6,linear,-0.05711431558861083,0.2211878689146815,-0.27707633550118144,0.16284770432395979,CPI (PCE)
7,linear,0.04358466422966556,0.1820352022035822,-0.13744167762336826,0.22461100608269938,CPI (PCE)
8,linear,0.05147646936215955,0.18040851368071492,-0.12793219926578206,0.23088513799010116,CPI (PCE)
9,linear,0.1330599457956169,0.18026174662254457,-0.04620276917433172,0.3123226607655655,CPI (PCE)
10,linear,0.38372346204014807,0.18087928555841754,0.20384663060723163,0.5636002934730645,CPI (PCE)
11,linear,0.4050881777097316,0.15674894717142968,0.24920795151027417,0.560968403909189,CPI (PCE)
12,linear,0.1934536878705156,0.14395941588418545,0.05029211188221597,0.33661526385881524,CPI (PCE)
13,linear,0.14387192315620254,0.16023739595740005,-0.01547741843863662,0.3032212647510417,CPI (PCE)
14,linear,0.055501782722994455,0.17840315278497873,-0.12191263895350173,0.23291620439949062,CPI (PCE)
15,linear,0.12449760255724533,0.19562200280917366,-0.07004024026561796,0.31903544538010864,CPI (PCE)
16,linear,0.13771274268158307,0.22996938759594227,-0.09098212771012101,0.3664076130732872,CPI (PCE)
17,linear,0.11208639288238507,0.2030064808550466,-0.08979500234658593,0.31396778811135606,CPI (PCE)
18,linear,-0.0024080411018314795,0.18708634812273994,-0.1884575348334145,0.1836414526297515,CPI (PCE)
19,linear,0.025600752702049798,0.17224987864360708,-0.14569449699700865,0.19689600240110822,CPI (PCE)
20,linear,-0.0805336501992173,0.1792327278701172,-0.2587730493588438,0.09770574896040926,CPI (PCE)
0,high,-0.24248496975393766,0.1406159635509865,-0.3823216232123515,-0.10264831629552379,CPI (PCE)
0,low,0.01563723918390076,0.1493914948635389,-0.1329263105676349,0.1642007889354364,CPI (PCE)
1,high,0.05728389510056022,0.22359920193611008,-0.16507609394421402,0.2796438841453345,CPI (PCE)
1,low,0.003380105496757561,0.2326454999139505,-0.22797604588594453,0.23473625687945968,CPI (PCE)
2,high,-0.08288625373125791,0.25707419047131375,-0.33853570901522156,0.17276320155270575,CPI (PCE)
2,low,0.06994373340497581,0.24667756869766613,-0.17536671939743378,0.31525418620738543,CPI (PCE)
3,high,-0.0608599713192294,0.2855545216575325,-0.34483191646775285,0.22311197382929407,CPI (PCE)
3,low,0.05515886023860623,0.35068269036606653,-0.2935803057011337,0.40389802617834614,CPI (PCE)
4,high,-0.09204954736348493,0.2995025981512252,-0.3898922671367738,0.20579317240980394,CPI (PCE)
4,low,0.036211483362626334,0.25789001741348333,-0.22024927745531278,0.2926722441805655,CPI (PCE)
5,high,0.054660899980078045,0.2934961070270775,-0.2372086173443727,0.3465304173045288,CPI (PCE)
5,low,-0.006486124957166266,0.2251202571482327,-0.23035873934843312,0.21738648943410058,CPI (PCE)
6,high,-0.0054072381758437935,0.2948162691016873,-0.2985896010825048,0.2877751247308172,CPI (PCE)
6,low,-0.14409264632717583,0.2298862078034275,-0.37270479791848987,0.08451950526413818,CPI (PCE)
7,high,-0.11559902648586239,0.33181405893974736,-0.44557413315831995,0.21437608018659515,CPI (PCE)
7,low,0.18633817522995896,0.20696331129432444,-0.01947812122187617,0.39215447168179407,CPI (PCE)
8,high,0.021051965462440005,0.27277906694729903,-0.25021532803790264,0.2923192589627826,CPI (PCE)
8,low,6.363172199034596e-4,0.19046346513608137,-0.1887715771481187,0.19004421158792562,CPI (PCE)
