"year","pshock","nshock","p1","n1"
1981,0,1,NA,NA
1981.25,0,1,0,1
1981.5,0,1,0,1
1981.75,1,0,0,1
1982,0,1,1,0
1982.25,1,0,0,1
1982.5,1,0,1,0
1982.75,1,0,1,0
1983,1,0,1,0
1983.25,1,0,1,0
1983.5,1,0,1,0
1983.75,0,1,1,0
1984,1,0,0,1
1984.25,0,1,1,0
1984.5,0,1,0,1
1984.75,0,1,0,1
1985,0,1,0,1
1985.25,1,0,0,1
1985.5,1,0,1,0
1985.75,1,0,1,0
1986,1,0,1,0
1986.25,0,1,1,0
1986.5,0,1,0,1
1986.75,0,1,0,1
1987,0,1,0,1
1987.25,0,1,0,1
1987.5,0,1,0,1
1987.75,0,1,0,1
1988,1,0,0,1
1988.25,1,0,1,0
1988.5,1,0,1,0
1988.75,1,0,1,0
1989,1,0,1,0
1989.25,1,0,1,0
1989.5,0,1,1,0
1989.75,0,1,0,1
1990,0,1,0,1
1990.25,0,1,0,1
1990.5,1,0,0,1
1990.75,1,0,1,0
1991,1,0,1,0
1991.25,1,0,1,0
1991.5,0,1,1,0
1991.75,0,1,0,1
1992,1,0,0,1
1992.25,0,1,1,0
1992.5,0,1,0,1
1992.75,0,1,0,1
1993,0,1,0,1
1993.25,0,1,0,1
1993.5,0,1,0,1
1993.75,0,1,0,1
1994,0,1,0,1
1994.25,1,0,0,1
1994.5,0,1,1,0
1994.75,1,0,0,1
1995,1,0,1,0
1995.25,1,0,1,0
1995.5,1,0,1,0
1995.75,1,0,1,0
1996,1,0,1,0
1996.25,1,0,1,0
1996.5,1,0,1,0
1996.75,1,0,1,0
1997,1,0,1,0
1997.25,0,1,1,0
1997.5,1,0,0,1
1997.75,1,0,1,0
1998,0,1,1,0
1998.25,1,0,0,1
1998.5,1,0,1,0
1998.75,0,1,1,0
1999,0,1,0,1
1999.25,0,1,0,1
1999.5,0,1,0,1
1999.75,1,0,0,1
2000,1,0,1,0
2000.25,1,0,1,0
2000.5,1,0,1,0
2000.75,1,0,1,0
2001,0,1,1,0
2001.25,0,1,0,1
2001.5,0,1,0,1
2001.75,0,1,0,1
2002,0,1,0,1
2002.25,0,1,0,1
2002.5,0,1,0,1
2002.75,1,0,0,1
2003,1,0,1,0
2003.25,1,0,1,0
2003.5,1,0,1,0
2003.75,1,0,1,0
2004,1,0,1,0
2004.25,1,0,1,0
2004.5,1,0,1,0
2004.75,0,1,1,0
2005,0,1,0,1
2005.25,0,1,0,1
2005.5,1,0,0,1
2005.75,1,0,1,0
2006,1,0,1,0
2006.25,1,0,1,0
2006.5,1,0,1,0
2006.75,1,0,1,0
2007,0,1,1,0
2007.25,0,1,0,1
2007.5,0,1,0,1
2007.75,0,1,0,1
2008,1,0,0,1
2008.25,1,0,1,0
2008.5,1,0,1,0
2008.75,1,0,1,0
2009,1,0,1,0
2009.25,1,0,1,0
2009.5,0,1,1,0
2009.75,0,1,0,1
2010,0,1,0,1
2010.25,1,0,0,1
2010.5,1,0,1,0
2010.75,0,1,1,0
2011,0,1,0,1
2011.25,0,1,0,1
2011.5,0,1,0,1
2011.75,0,1,0,1
2012,0,1,0,1
2012.25,0,1,0,1
2012.5,0,1,0,1
2012.75,1,0,0,1
2013,1,0,1,0
2013.25,1,0,1,0
2013.5,1,0,1,0
2013.75,1,0,1,0
2014,1,0,1,0
2014.25,0,1,1,0
2014.5,0,1,0,1
2014.75,0,1,0,1
2015,0,1,0,1
2015.25,0,1,0,1
2015.5,1,0,0,1
2015.75,1,0,1,0
2016,1,0,1,0
2016.25,1,0,1,0
2016.5,1,0,1,0
2016.75,1,0,1,0
