Rank,State,Role,Role_stable,Mean Net,SD Net,% Pos,H1 Mean,H2 Mean
1,MI,Transmitter,Switched,41.1,94.2,48.8,-21.6,79
2,MN,Transmitter,Stable,36.6,44.9,76.4,0.1,71.4
3,CA,Transmitter,Stable,32,47.7,71.5,6.4,61.7
4,NH,Transmitter,Stable,31.2,44.4,76.6,55.8,8.5
5,CO,Transmitter,Stable,28.3,46,69.9,6.8,39.6
6,DC,Transmitter,Stable,27,55.3,63.2,5.5,45
7,VA,Transmitter,Switched,22.2,53.4,62.5,-11.7,39.5
8,DE,Transmitter,Stable,21.9,54.8,59.7,1.7,43.9
9,RI,Transmitter,Stable,21.6,37.4,74.8,48.8,6.4
10,IN,Transmitter,Stable,17.8,43.1,62,3.4,25
11,FL,Transmitter,Switched,16.5,50.9,60.4,-26.7,35.4
12,GA,Transmitter,Switched,14.9,42.6,57.9,-16.8,35.4
13,NM,Transmitter,Switched,13.7,38.6,63.7,-3.9,20.3
14,AZ,Transmitter,Stable,12.1,36.5,58.3,4.6,30.1
15,MA,Transmitter,Stable,11.6,43,61.3,25.6,0.1
16,MD,Transmitter,Stable,9.5,32.9,58.1,5.7,12.6
17,UT,Transmitter,Switched,6.4,36.9,48.8,22.9,-8.4
18,SC,Transmitter,Stable,4.5,24.7,56.9,1,21.4
19,WI,Transmitter,Stable,3.2,30,49.5,5.1,17.6
20,CT,Transmitter,Stable,3.1,48.4,48.4,24.5,5.4
21,ID,Transmitter,Stable,0.7,44.1,41.4,-9.6,-16.2
22,NV,Receiver,Stable,-0,41.9,44.2,6.6,16.3
23,WA,Receiver,Switched,-0.5,33.8,44.4,-6.9,12.8
24,OR,Receiver,Stable,-2.3,24.4,44,-2,-5
25,OH,Receiver,Switched,-3.1,36.4,44.2,0.4,-20.6
26,NJ,Receiver,Switched,-3.2,37.9,41.4,24.8,-15.2
27,ME,Receiver,Stable,-3.4,33.1,42.1,-15.2,-9.3
28,NY,Receiver,Switched,-6,34.4,43.5,13.9,-20.1
29,WY,Receiver,Stable,-7.6,33.4,36.8,-0.2,-16.2
30,NC,Receiver,Switched,-7.6,32.8,36.1,-28.2,1.7
31,MO,Receiver,Stable,-7.7,25.9,36.8,-4.3,-9.5
32,AL,Receiver,Stable,-7.7,34.6,36.3,-16.9,-10.6
33,AR,Receiver,Stable,-7.8,36,35,-21.4,-10
34,VT,Receiver,Stable,-8,30.2,36.8,3.9,2.2
35,MS,Receiver,Switched,-9,34.9,37.5,6,-24.4
36,TN,Receiver,Switched,-10.4,45.2,34.7,9.8,-32.3
37,LA,Receiver,Stable,-11.1,26.5,33.3,-0.7,-33.3
38,MT,Receiver,Stable,-12.4,33.1,34.7,-5.3,-23.3
39,OK,Receiver,Switched,-12.9,35.7,34.3,11.1,-31.7
40,TX,Receiver,Stable,-13.2,30.1,26.6,-18.8,-22.5
41,HI,Receiver,Switched,-15.7,35.3,29.2,3.5,-24.6
42,PA,Receiver,Switched,-17.4,30.2,21.8,0.8,-20.3
43,AK,Receiver,Switched,-18.2,30.3,21.3,2.8,-30
44,IA,Receiver,Switched,-18.5,34.7,27.3,6.9,-29.4
45,SD,Receiver,Stable,-19.5,32.1,24.5,-4.2,-26.2
46,NE,Receiver,Stable,-20.1,27.9,24.8,-14.3,-26.3
47,IL,Receiver,Switched,-20.8,30.2,15.7,0,-32.8
48,ND,Receiver,Stable,-21.4,38.8,24.8,-22.8,-27.5
49,WV,Receiver,Stable,-28.5,34,17.1,-13.5,-39.7
50,KY,Receiver,Stable,-29.8,29.9,14.4,-18,-26.9
51,KS,Receiver,Stable,-32,26.7,13,-25.6,-38.8
