"date","AK","AL","AR","AZ","CA","CO","CT","DC","DE","FL","GA","HI","IA","ID","IL","IN","KS","KY","LA","MA","MD","ME","MI","MN","MO","MS","MT","NC","ND","NE","NH","NJ","NM","NV","NY","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VA","VT","WA","WI","WV","WY"
1981-01-01,92.571,88.963,91.647,86.422,84.859,90.194,89.039,89.989,92.47,92.747,90.524,86.249,86.246,93.137,85.102,86.964,89.956,90.793,88.266,82.967,87.819,88.292,90.029,89.135,89.1,92.471,79.994,96.233,89.806,93.138,84.09,94.703,86.804,82.91,89.607,87.49,89.346,87.352,84.573,93.997,90.78,94.152,93.101,88.209,88.244,87.315,88.589,92.985,92.013,88.217,87.949
1981-02-01,91.51,85.378,91.548,88.518,83.846,90.634,89.298,90.92,91.375,93.967,90.37,86.935,86.946,93.773,86.486,86.41,87.455,91.364,87.751,84.819,87.65,88.222,94.252,89.55,89.815,91.903,79.134,96.595,88.907,88.102,84.892,94.413,87.312,81.729,90.432,86.658,88.457,87.742,84.438,92.305,92.208,95.46,92.809,88.888,88.832,88.742,82.158,91.748,92.602,86.854,87.92
1981-03-01,93.725,90.039,91.707,87.502,81.228,89.856,89.29,91.401,92.836,94.202,89.87,84.602,88.043,91.244,86.845,86.843,86.135,89.13,87.674,80.55,89.434,86.262,89.165,88.864,90.422,92.557,80.476,94.714,90.193,92.761,86.515,94.229,87.196,78.99,90.239,81.98,87.461,89.255,85.385,93.198,91.88,94.035,93.493,87.429,89.294,88.917,83.594,92.558,91.729,85.562,88.159
1981-04-01,93.414,85.828,92.951,84.302,82.836,88.69,91.516,90.613,90.695,94.124,89.923,86.547,85.099,90.671,88.358,85.476,87.796,86.6,87.805,78.202,88.995,84.145,93.585,88.482,87.954,91.63,77.545,92.987,89.422,88.768,80.982,94.554,88.323,72.561,90.052,85.22,88.292,89.849,84.877,93.433,91.346,93.014,92.899,88.164,89.969,87.725,82.002,92.774,91.632,83.249,88.367
1981-05-01,93.103,83.863,94.771,85.954,83.58,89.993,90.99,88.443,87.305,94.586,91.386,88.539,85.161,92.402,87.849,85.091,89.108,89.687,89.358,75.018,86.791,85.369,93.166,88.778,88.438,92.205,78.025,92.851,89.485,93.661,79.155,94.781,89.927,72.724,89.906,87.074,89.829,92.049,80.107,91.527,85.982,95.369,92.159,87.908,88.943,87.874,84.112,91.884,92.245,85.382,89.253
1981-06-01,92.991,78.235,95.291,86.497,84.966,90.727,94.057,88.276,87.462,94.234,91.595,90.895,87.119,94.349,88.015,86.177,86.804,91.062,91.626,76.688,87.747,92.12,93.666,91.249,90.703,91.06,82.198,92.539,89.427,93.537,80.044,95.596,90.514,71.889,91.429,89.324,91.333,91.221,84.115,91.302,85.546,96.133,92.235,88.823,88.207,88.364,84.692,92.691,91.608,86.265,89.189
1981-07-01,93.017,86.317,96.009,84.466,80.676,90.512,94.371,89.962,89.071,94.088,90.291,90.776,89.482,91.683,91.268,87.199,90.604,91.78,90.446,77.276,88.984,91.619,90.757,90.748,90.285,91.163,79.421,91.443,89.141,93.375,78.537,95.002,91.777,72.847,91.812,87.826,90.327,92.879,86.255,91.293,92.158,95.095,89.885,89.679,90.118,87.593,86.037,92.752,91.291,82.269,89.57
1981-08-01,92.942,84.859,95.749,89.592,86.709,92.659,94.032,89.483,90.604,92.887,94.195,89.735,91.297,92.315,89.983,88.23,92.761,91.455,90.721,76.638,87.54,88.495,92.009,90.588,93.444,92.552,81.321,92.901,91.229,93.704,81.107,95.278,92.571,73.647,90.616,87.368,90.652,93.094,84.472,92.436,90.191,94.753,93.104,89.179,91.613,85.661,87.182,93.373,92.238,83.215,88.867
1981-09-01,92.136,84.172,94.943,90.553,87.824,92.121,94.594,89.424,88.217,93.015,92.786,85.857,90.734,92.968,87.561,88.9,93.175,92.053,91.743,80.836,88.004,87.339,92.082,89.918,93.169,90.988,81.116,93.824,90.329,93.382,80.5,93.992,91.891,78.072,91.275,87.554,91.134,93.922,83.873,91.668,85.49,94.314,93.156,89.083,91.487,87.286,86.61,92.678,91.646,84.24,89.458
1981-10-01,90.519,80.189,94.742,90.636,85.394,91.441,95.294,90.05,87.918,92.786,94.389,84.796,91.248,92.615,88.869,87.949,91.635,94.84,90.729,82.689,89.161,89.401,91.394,89.359,90.392,91.47,81.732,92.624,89.188,92.529,84.86,93.841,92.087,78.892,91.614,90.365,90.951,92.835,90.258,91.192,89.866,94.33,92.348,90.618,89.093,88.431,90.355,93.507,91.211,87.79,89.727
1981-11-01,92.993,85.314,94.742,87.137,85.449,92.648,96.772,90.867,88.824,93.233,94.069,84.73,90.046,91.978,88.54,86.452,90.845,92.002,91.473,79.867,84.683,89.3,93.236,91.389,89.541,90.313,82.02,91.36,88.857,92.407,87.517,95.315,91.01,83.42,92.36,91.385,91.032,91.004,93.041,85.743,88.989,95.857,92.235,91.689,88.755,91.056,91.858,93.254,92.733,90.028,89.661
1981-12-01,93.181,79.801,95.138,86.02,84.649,92.187,95.68,90.344,89.838,93.235,93.527,87.27,90.076,92.966,87.282,86.499,90.265,91.068,91.509,81.762,84.536,87.136,93.287,89.843,89.109,92.57,82.521,92.012,88.047,93.265,85.981,95.602,93.081,82.056,91.336,89.564,91.053,90.42,93.448,86.452,87.638,94.942,91.51,89.86,87.439,89.925,90.644,93.109,92.276,90.55,89.948
1982-01-01,93.147,81.802,94.839,84.809,83.498,91.421,94.027,90.345,90.418,93.131,93.316,87.931,89.248,91.533,87.394,86.916,90.045,92.023,92.074,81.71,87.537,85.137,92.869,87.528,89.304,92.276,81.322,91.545,87.639,93.414,83.102,95.91,93.654,82.044,89.187,88.699,91.416,87.712,92.365,85.527,87.524,92.844,91.38,89.414,86.236,90.395,89.587,93.538,92.73,90.673,90.315
1982-02-01,93.927,84.714,94.304,85.558,83.257,92.096,92.161,89.631,91.312,92.331,92.954,85.653,89.523,91.861,86.628,86.618,90.674,93.473,91.413,80.75,84.378,89.108,93.368,87.051,88.82,91.7,80.259,88.697,87.954,92.212,80.092,95.685,93.116,82.459,90.877,86.528,90.401,88.323,91.419,89.321,89.311,90.78,91.214,88.103,85.811,90.354,88.29,93.462,92.275,88.778,90.554
1982-03-01,92.787,83.137,94.449,85.577,82.936,91.719,92.836,87.468,90.539,90.778,93.163,86.654,89.306,88.893,88.097,86.368,90.58,93.749,91.757,77.279,89.025,87.365,94.4,89.795,91.252,92.209,78.039,89.506,86.904,93.677,78.468,95.022,94.09,79.342,91.419,87.306,88.226,89.581,91.925,89.168,89.677,91.756,91.315,90.248,86.831,89.494,90.117,93.364,92.396,88.386,89.668
1982-04-01,92.343,79.025,94.394,90.02,83.304,92.184,93.007,85.863,91.388,90.57,92.486,87.186,89.488,91.92,87.756,87.037,91.694,93.16,92.279,75.632,88.536,88.679,94.196,91.36,90.869,95.508,79.069,92.571,86.862,94.391,74.339,94.842,95.292,80.638,92.06,88.199,91.461,90.692,91.97,88.44,87.328,92.591,91.54,91.133,87.169,89.23,90.758,94.566,92.955,88.093,90.227
1982-05-01,92.285,86.679,93.093,92.837,83.031,93.831,93.131,88.854,91.162,90.222,92.9,83.054,89.151,93.05,88,88.758,93.176,93.032,94.076,77.589,89.029,90.567,95.349,90.643,88.08,95.385,83.892,93.73,87.264,95.572,73.637,94.98,96.265,84.651,92.715,88.359,91.331,91.14,91.011,89.199,90.038,93.296,91.223,93.21,89.26,89.909,89.785,95.324,92.736,87.645,91.411
1982-06-01,91.871,88.472,94.707,94.328,87.079,93.895,92.071,94.172,91.43,90.035,89.067,87.955,90.789,94.573,88.889,93.231,94.268,94.729,94.203,73.93,87.769,90.347,95.061,91.19,93.391,91.613,89.908,95.025,88.524,97.159,64.432,94.179,96.29,86.574,91.552,89.652,92.437,92.508,89.476,86.306,92.747,94.025,90.236,94.204,90.146,86.835,85.106,96.085,92.906,88.182,91.844
1982-07-01,92.253,90.108,93.189,92.843,86.28,93.569,93.392,94.638,92.046,89.395,87.82,87.816,92.303,94.762,87.026,92.898,93.45,96.071,94.6,80.995,87.844,91.005,95.796,90.506,95.326,95.22,85.88,92.051,86.258,97.178,80.875,92.434,96.158,86.088,85.674,90.85,92.961,92.926,91.187,92.561,92.428,93.461,88.076,92.434,90.619,87.112,89.401,95.383,92.657,86.628,92.733
1982-08-01,92.474,82.76,95.325,91.44,84.346,92.826,92.588,93.735,91.649,90.977,91.752,88.654,93.356,94.241,87.992,90.523,93.982,95.821,94.246,71.736,87.769,90.271,95.839,92.429,92.773,91.772,82.865,91.32,86.335,96.667,85.824,92.192,95.85,84.097,87.731,91.175,92.743,92.017,91.228,92.838,90.02,93.796,89.992,93.815,90.898,88.286,88.337,95.355,92.565,86.696,92.378
1982-09-01,92.437,93.831,95.42,90.43,85.161,92.734,93.331,93.906,90.401,89.472,84.943,89.369,93.412,94.358,89.475,89.8,93.742,94.324,94.668,78.167,84.45,89.754,94.881,91.651,95.032,93.608,84.436,90.308,88.266,96.413,85.677,92.361,95.931,85.711,89.799,92.939,92.639,92.486,91.163,90.238,88.867,94.45,88.701,93.127,90.577,89.397,86.434,95.217,93.153,87.3,92.486
1982-10-01,92.3,90.804,95.554,91.749,84.351,92.574,93.678,92.917,90.548,89.647,84.769,90.661,93.239,93.43,90.475,91.404,93.154,93.04,94.402,79.244,86.485,89.57,93.081,94.082,90.543,93.439,86.576,90.823,91.312,95.64,89.295,92.643,94.995,86.444,84.737,94.289,93.054,92.443,91.261,89.37,89.39,94.496,87.878,93.156,90.518,87.333,86.408,95.02,92.568,85.775,91.474
1982-11-01,91.994,91.995,95.996,88.404,83.83,92.218,94.069,89.595,90.022,90.216,86.318,88.268,91.657,93.401,89.229,91.001,92.646,94.279,92.416,79.688,84.808,86.791,93.522,92.848,92.369,92.675,85.956,92.073,90.634,95.729,83.696,92.081,95.864,87.627,89.269,92.692,93.342,94.018,90.354,89.851,87.909,95.27,92.065,92.117,90.709,89.029,89.522,95.743,93.429,87.698,91.104
1982-12-01,91.57,90.607,96.595,89.083,81.196,92.665,94.056,90.436,91.578,90.389,88.976,92.416,91.994,92.837,87.33,89.773,93.457,94.013,91.988,82.093,83.239,87.404,94.785,93.02,91.721,94.572,88.926,92.224,90.896,96.337,85.192,91.95,96.087,89.666,89.319,90.735,93.486,94.018,85.393,88.327,88.492,94.855,93.51,93.596,90.032,91.128,90.834,95.228,93.313,86.365,91.794
1983-01-01,91.212,91.393,96.625,91.764,80.32,92.36,93.433,91.923,87.508,90.835,86.794,90.596,92.843,92.505,87.465,90.088,94.463,93.725,92.565,86.032,88.252,84.702,95.142,92.303,87.963,95.51,88.99,91.989,91.054,95.531,86.383,91.943,96.177,89.676,85.286,89.308,92.686,93.188,90.879,88.275,88.221,92.709,91.614,94.328,89.575,92.765,91.578,94.66,93.736,85.315,91.861
1983-02-01,91.454,93.379,96.844,91.999,81.219,92.256,94.573,91.425,91.457,91.121,90.706,93.418,93.168,92.16,88.067,88.616,94.28,94.102,90.747,85.897,89.876,83.854,91.877,92.16,86.758,95.952,89.443,91.993,91.203,95.252,86.512,93.083,94.888,88.933,86.668,88.263,92.546,91.123,91.479,87.983,88.585,92.377,91.519,95.042,89.658,91.075,91.911,94.937,94.089,87.628,91.607
1983-03-01,89.35,93.324,96.516,92.648,80.129,92.637,95.763,92.416,91.796,91.49,90.836,94.342,91.562,91.119,85.206,88.088,93.954,93.222,91.988,84.45,87.667,86.822,94.554,92.392,83.013,94.668,89.821,90.597,91.16,94.486,88.292,92.413,94.248,88.401,81.256,91.212,92.773,89.476,93.313,87.25,91.306,93.037,92.243,94.773,90.177,90.189,90.794,95.119,93.138,88.569,91.548
1983-04-01,85.162,92.386,96.423,92.054,75.864,92.812,94.957,90.832,92.467,90.989,90.644,94.827,90.255,90.189,88.095,88.02,93.973,93.973,91.974,82.014,86.42,84.195,95.055,90.361,85.629,95.032,89.154,91.326,89.831,94.392,86.978,91.471,92.953,88.925,81.115,89.687,92.651,88.938,92.356,86.075,90.789,93.101,88.363,94.072,89.558,91.132,92.59,94.575,93.787,86.481,91.968
1983-05-01,86.469,90.514,95.545,87.928,75.645,93.09,94.897,91.825,90.232,90.997,90.75,93.772,88.763,87.973,88.553,87.633,93.731,95.243,90.601,79.541,86.781,76.243,93.626,90.628,86.35,94.048,87.86,91.911,87.002,92.875,85.999,92.244,94.455,87.676,82.028,91.651,91.747,87.574,90.481,86.697,86.516,90.197,88.022,93.185,88.622,90.286,93.214,93.628,92.219,87.709,91.281
1983-06-01,88.188,88.384,96.951,88.43,77.353,91.682,94.408,92.411,93.996,91.745,90.755,94.243,90.286,85.738,88.827,86.179,92.737,95.39,86.872,83.809,87.091,87.022,95.595,88.658,81.889,94.448,88.269,92.615,87.766,93.577,86.823,92.425,91.999,87.856,87.174,90.348,91.223,88.274,90.864,85.223,88.424,92.941,88.903,93.202,88.37,89.593,93.088,94.085,94.516,88.145,92.093
