"date","AK","AL","AR","AZ","CA","CO","CT","DC","DE","FL","GA","HI","IA","ID","IL","IN","KS","KY","LA","MA","MD","ME","MI","MN","MO","MS","MT","NC","ND","NE","NH","NJ","NM","NV","NY","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VA","VT","WA","WI","WV","WY"
1981-01-01,43.918,-27.7,-9.794,27.762,14.215,-0.55,12.038,-12.762,-22.153,-47.787,-4.246,24.346,0.029,-18.889,45.283,35.751,39.488,-42.014,1.983,36.481,7.594,8.593,-34.781,2.461,-20.714,-20.751,-16.316,-23.842,-23.588,-19.871,22.783,25.912,9.716,3.108,-0.116,20.275,-8.089,13.289,6.643,44.382,-12.325,-23.169,-33.087,-9.802,10.431,-17.949,23.451,-32.547,18.98,-29.651,13.581
1981-02-01,30.664,-29.318,17.721,22.811,18.959,-10.913,4.42,-24.079,-20.347,-61.393,2.957,23.828,-0.631,-22.213,36.553,42.008,54.413,-43.07,13.202,29.237,2.969,2.116,-31.416,5.13,-24.821,-29.256,-11.626,-27.15,-10.196,-17.887,25.789,18.99,15.11,-0.743,-1.368,13.623,-9.834,1.793,14.282,45.372,1.953,-24.701,-34.058,-7.601,14.887,-25.066,32.001,-28.241,14.564,-31.111,21.682
1981-03-01,36.003,-38.726,20.512,17.935,61.826,-21.235,-6.112,-28.188,-18.435,-64.802,12.276,46.197,2.761,-6.875,37.589,32.95,44.301,-48.327,4.382,40.019,10.439,8.873,-43.775,4.006,-26.134,-27.524,-14.747,-32.95,-19.695,-18.302,21.003,6.676,8.034,-12.366,3.468,15.085,-0.962,-14.253,-1.186,33.327,4.744,-12.28,-32.127,-2.746,15.269,0.946,37.799,-32.21,12.652,-31.455,16.342
1981-04-01,27.998,-27.872,1.814,36.148,19.198,-13.39,-4.096,-24.445,-23.21,-53.977,17.932,41.532,30.974,-24.429,-3.48,42.808,18.634,-52.832,-6.166,62.487,8.413,8.354,-51.248,-5.153,-10.157,-27.782,4.375,11.19,-28.649,-0.419,14.597,-2.21,4.062,-1.596,0.619,-1.081,-17.248,-21.922,0.606,32.651,10.519,0.898,-16.695,-13.671,11.542,35.008,23.547,-29.879,7.93,-27.908,15.677
1981-05-01,17.083,-28.723,-11.972,38.756,13.944,-26.333,22.796,7.628,-16.37,-46.902,3.448,19.143,34.201,-29.577,-22.657,50.003,10.786,-51.035,-2.132,88.837,16.205,-2.982,-57.802,-6.145,-5.266,-29.272,-3.138,35.85,-31.209,-15.259,23.151,-7.507,-10.521,-1.081,-1.544,-3.739,-11.026,-23.554,17.314,32.358,13.238,3.203,7.687,-22.266,13.861,42.671,16.898,-31.365,4.356,-36.997,2.958
1981-06-01,9.645,-12.594,-42.213,44.54,0.459,-22.909,-0.043,4.282,-13.634,-37.464,-18.59,10.394,30.92,-40.014,-38.327,45.969,31.232,-55.511,17.391,85.063,7.551,-12.452,-52.958,-3.346,-10.501,-14.382,-8.033,49.701,-23.769,-10.43,33.288,-10.754,-19.307,5.645,-14.089,-11.488,-6.404,11.963,0.619,28.135,14.098,-4.515,14.871,-32.637,13.732,61.856,29.808,-33.151,32.637,-35.144,0.861
1981-07-01,18.841,-39.085,-59.056,26.734,20.053,-21.101,-0.537,-14.135,9.126,-52.322,-26.004,21.087,38.614,-10.249,-40.373,23.798,2.677,-63.277,38.525,45.7,-3.459,-19.993,-51.765,-13.954,-20.431,-20.682,8.299,38.368,-0.656,-10.678,45.123,11.659,-14.114,24.965,-16.716,-22.583,23.631,-17.026,-20.926,65.526,-3.144,16.452,9.664,-29.966,20.863,47.584,43.327,-25.1,16.368,-24.095,24.444
1981-08-01,19.577,-33.055,-50.803,17.341,-5.567,-31.093,-6.66,-17.062,14.331,-49.631,-48.332,18.516,32.95,-5.493,-30.967,17.55,0.906,-64.076,31.505,48.913,3.861,-8.58,-47.378,-15.245,-25.004,-14.743,31.289,24.522,3.144,-20.867,46.331,29.989,-4.861,15.69,-13.596,-23.678,25.905,-28.972,-3.182,76.128,-14.652,21.146,5.187,-25.328,33.414,38.53,37.365,-23.638,-3.864,-22.815,45.054
1981-09-01,19.047,-27.078,-40.658,20.128,-13.664,-30.043,-4.414,-10.918,22.44,-54.563,-47.243,18.302,39.899,-13.883,-23.03,15.63,-7.416,-65.935,27.491,52.206,-1.708,8.094,-53.175,-14.439,-26.992,-8.192,38.375,0.819,-6.168,-24.235,51.219,35.922,-4.567,-1.68,-11.762,-32.892,22.11,-18.507,-1.441,72.04,-0.08,40.637,5.481,-31.719,43.1,11.854,22.777,-21.699,3.2,-23.96,51.292
1981-10-01,-3.227,-20.036,-31.865,29.203,-19.269,-23.824,-9.369,8.094,15.522,-59.837,-47.204,24.94,3.026,-26.658,-19.85,27.188,-8.225,-70.061,32.207,60.046,11.702,11.264,-53.625,-21.731,-39.652,-21.226,32.729,23.714,-16.224,-4.429,47.194,28.757,10.427,-7.091,8.538,-43.96,33.287,-9.408,-28.316,76.772,11.488,26.522,6.021,-30.591,40.326,8.86,40.332,-24.238,-0.907,-27.812,50.473
