"date","AK","AL","AR","AZ","CA","CO","CT","DC","DE","FL","GA","HI","IA","ID","IL","IN","KS","KY","LA","MA","MD","ME","MI","MN","MO","MS","MT","NC","ND","NE","NH","NJ","NM","NV","NY","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VA","VT","WA","WI","WV","WY"
1981-01-01,136.489,61.263,81.853,114.184,99.074,89.643,101.077,77.227,70.317,44.96,86.278,110.595,86.275,74.249,130.385,122.715,129.444,48.779,90.249,119.448,95.414,96.884,55.249,91.596,68.387,71.721,63.678,72.391,66.218,73.266,106.873,120.615,96.52,86.019,89.491,107.764,81.258,100.641,91.216,138.379,78.455,70.984,60.014,78.406,98.675,69.366,112.04,60.438,110.993,58.566,101.53
1981-02-01,122.174,56.06,109.269,111.328,102.805,79.721,93.718,66.841,71.029,32.574,93.327,110.763,86.315,71.561,123.04,128.419,141.868,48.294,100.953,114.055,90.619,90.339,62.836,94.68,64.994,62.647,67.508,69.445,78.711,70.216,110.681,113.403,102.422,80.987,89.064,100.281,78.623,89.535,98.72,137.677,94.162,70.759,58.752,81.287,103.72,63.676,114.159,63.506,107.166,55.744,109.602
1981-03-01,129.728,51.312,112.219,105.437,143.055,68.621,83.178,63.213,74.401,29.399,102.146,130.799,90.804,84.369,124.434,119.793,130.437,40.803,92.055,120.569,99.873,95.135,45.39,92.87,64.288,65.033,65.729,61.764,70.497,74.458,107.519,100.905,95.23,66.625,93.708,97.065,86.498,75.002,84.199,126.526,96.624,81.755,61.367,84.683,104.563,89.863,121.393,60.348,104.381,54.107,104.5
1981-04-01,121.412,57.956,94.765,120.45,102.034,75.3,87.421,66.168,67.485,40.147,107.855,128.079,116.073,66.242,84.877,128.284,106.431,33.768,81.639,140.689,97.408,92.499,42.337,83.329,77.797,63.849,81.92,104.177,60.773,88.35,95.579,92.344,92.385,70.965,90.672,84.139,71.044,67.926,85.483,126.084,101.865,93.912,76.204,74.492,101.511,122.733,105.549,62.896,99.562,55.341,104.044
1981-05-01,110.185,55.14,82.799,124.709,97.525,63.66,113.786,96.071,70.934,47.684,94.833,107.682,119.362,62.825,65.192,135.094,99.894,38.651,87.226,163.854,102.995,82.387,35.365,82.633,83.172,62.934,74.886,128.701,58.276,78.402,102.305,87.273,79.407,71.643,88.362,83.336,78.803,68.495,97.421,123.885,99.22,98.572,99.847,65.642,102.803,130.545,101.01,60.519,96.601,48.385,92.212
1981-06-01,102.636,65.641,53.078,131.037,85.425,67.818,94.014,92.558,73.828,56.771,73.006,101.289,118.038,54.335,49.687,132.146,118.037,35.551,109.016,161.751,95.298,79.668,40.708,87.903,80.202,76.678,74.164,142.24,65.658,83.107,113.332,84.842,71.207,77.533,77.34,77.836,84.929,103.184,84.734,119.437,99.644,91.618,107.106,56.185,101.939,150.221,114.499,59.54,124.245,51.122,90.05
1981-07-01,111.858,47.232,36.954,111.2,100.728,69.411,93.833,75.827,98.197,41.767,64.287,111.863,128.096,81.434,50.895,110.997,93.282,28.503,128.97,122.976,85.524,71.626,38.992,76.794,69.854,70.481,87.72,129.811,88.484,82.697,123.66,106.661,77.663,97.812,75.096,65.243,113.958,75.853,65.328,156.819,89.014,111.547,99.549,59.713,110.981,135.177,129.364,67.651,107.659,58.174,114.014
1981-08-01,112.519,51.804,44.946,106.933,81.142,61.567,87.372,72.421,104.935,43.256,45.863,108.251,124.246,86.822,59.017,105.78,93.667,27.379,122.226,125.55,91.401,79.916,44.631,75.343,68.44,77.809,112.61,117.423,94.373,72.837,127.438,125.267,87.709,89.337,77.019,63.69,116.557,64.122,81.29,168.564,75.539,115.899,98.291,63.852,125.027,124.191,124.546,69.735,88.374,60.4,133.921
1981-09-01,111.183,57.095,54.286,110.681,74.16,62.079,90.179,78.506,110.657,38.452,45.543,104.158,130.633,79.085,64.531,104.529,85.759,26.118,119.234,133.042,86.296,95.432,38.906,75.479,66.177,82.796,119.491,94.643,84.161,69.147,131.719,129.914,87.324,76.392,79.512,54.662,113.245,75.414,82.431,163.708,85.409,134.951,98.637,57.364,134.587,99.14,109.387,70.979,94.846,60.28,140.75
1981-10-01,87.292,60.154,62.876,119.839,66.124,67.617,85.925,98.144,103.44,32.949,47.185,109.736,94.274,65.957,69.019,115.136,83.41,24.779,122.936,142.735,100.863,100.665,37.769,67.628,50.74,70.243,114.462,116.339,72.964,88.1,132.054,122.599,102.514,71.802,100.152,46.404,124.238,83.427,61.942,167.964,101.354,120.853,98.369,60.027,129.42,97.291,130.686,69.269,90.304,59.978,140.2
