"date","state","To","From","Net"
1981-01-01,"AK",136.489,92.571,43.918
1981-02-01,"AK",122.174,91.51,30.664
1981-03-01,"AK",129.728,93.725,36.003
1981-04-01,"AK",121.412,93.414,27.998
1981-05-01,"AK",110.185,93.103,17.083
1981-06-01,"AK",102.636,92.991,9.645
1981-07-01,"AK",111.858,93.017,18.841
1981-08-01,"AK",112.519,92.942,19.577
1981-09-01,"AK",111.183,92.136,19.047
1981-10-01,"AK",87.292,90.519,-3.227
1981-11-01,"AK",119.118,92.993,26.125
1981-12-01,"AK",114.985,93.181,21.803
1982-01-01,"AK",114.761,93.147,21.614
1982-02-01,"AK",112.386,93.927,18.459
1982-03-01,"AK",114.21,92.787,21.424
1982-04-01,"AK",133.564,92.343,41.221
1982-05-01,"AK",164.15,92.285,71.865
1982-06-01,"AK",190.147,91.871,98.276
1982-07-01,"AK",172.325,92.253,80.073
1982-08-01,"AK",152.141,92.474,59.667
1982-09-01,"AK",159.237,92.437,66.801
1982-10-01,"AK",160.539,92.3,68.238
1982-11-01,"AK",175.416,91.994,83.422
1982-12-01,"AK",173.063,91.57,81.494
1983-01-01,"AK",132.122,91.212,40.91
1983-02-01,"AK",118.412,91.454,26.958
1983-03-01,"AK",102.698,89.35,13.348
1983-04-01,"AK",92.007,85.162,6.845
1983-05-01,"AK",96.147,86.469,9.678
1983-06-01,"AK",82.38,88.188,-5.808
1983-07-01,"AK",82.492,89.092,-6.6
1983-08-01,"AK",67.313,88.341,-21.029
1983-09-01,"AK",62.959,86.917,-23.958
1983-10-01,"AK",46.821,88.318,-41.496
1983-11-01,"AK",54.146,88.025,-33.879
1983-12-01,"AK",65.072,87.598,-22.526
1984-01-01,"AK",86.178,89.192,-3.014
1984-02-01,"AK",119.014,88.366,30.648
1984-03-01,"AK",194.455,84.103,110.352
1984-04-01,"AK",195.676,84.022,111.654
1984-05-01,"AK",172.787,84.136,88.651
1984-06-01,"AK",155.937,84.447,71.49
1984-07-01,"AK",137.467,86.425,51.042
1984-08-01,"AK",126.369,86.714,39.654
1984-09-01,"AK",119.67,86.861,32.808
1984-10-01,"AK",129.768,87.164,42.603
1984-11-01,"AK",124.119,85.635,38.484
1984-12-01,"AK",112.751,85.647,27.104
1985-01-01,"AK",86.647,82.035,4.612
1985-02-01,"AK",94.927,86.77,8.157
1985-03-01,"AK",115.161,86.141,29.02
1985-04-01,"AK",141.094,85.765,55.329
1985-05-01,"AK",141.935,86.411,55.524
1985-06-01,"AK",112.755,86.859,25.896
1985-07-01,"AK",91.297,86.893,4.405
1985-08-01,"AK",81.911,85.434,-3.524
1985-09-01,"AK",100.198,82.796,17.402
1985-10-01,"AK",99.794,84.964,14.83
1985-11-01,"AK",89.371,84.943,4.428
