,Last updated: 02/11/25 - 17:59
,Modified: 1976M01 2021M12 =>
,Conditional Variance from equation GARCH_VOL
,
1976M01,NA
1976M02,14.95054
1976M03,15.77635
1976M04,16.09284
1976M05,15.88178
1976M06,18.17788
1976M07,17.93860
1976M08,17.79248
1976M09,21.15978
1976M10,21.56417
1976M11,23.37352
1976M12,22.29558
1977M01,23.77218
1977M02,27.39743
1977M03,28.77092
1977M04,26.87923
1977M05,25.48105
1977M06,23.95460
1977M07,22.64727
1977M08,21.74920
1977M09,21.08712
1977M10,21.37049
1977M11,20.41474
1977M12,19.62208
1978M01,20.40862
1978M02,21.07401
1978M03,20.16398
1978M04,19.39313
1978M05,20.24335
1978M06,20.74519
1978M07,19.88664
1978M08,19.39384
1978M09,24.33913
1978M10,23.19394
1978M11,22.05127
1978M12,24.79620
1979M01,23.52010
1979M02,25.98198
1979M03,24.37663
1979M04,23.29466
1979M05,22.27070
1979M06,24.62779
1979M07,23.38879
1979M08,22.33194
1979M09,21.57366
1979M10,20.64696
1979M11,19.81685
1979M12,21.68092
1980M01,21.30718
1980M02,20.36109
1980M03,21.27382
1980M04,29.44493
1980M05,28.50852
1980M06,29.68111
1980M07,28.67978
1980M08,27.64903
1980M09,25.84565
1980M10,24.69532
1980M11,27.34214
1980M12,27.55358
1981M01,27.38586
1981M02,26.17998
1981M03,27.17315
1981M04,39.82632
1981M05,37.64868
1981M06,36.17660
1981M07,34.62451
1981M08,34.59685
1981M09,32.30506
1981M10,40.74187
1981M11,37.36426
1981M12,34.39037
1982M01,31.71588
1982M02,31.61987
1982M03,29.22137
1982M04,32.13246
1982M05,29.84143
1982M06,27.70706
1982M07,30.22765
1982M08,28.02745
1982M09,26.35385
1982M10,48.93433
1982M11,46.78866
1982M12,42.49420
1983M01,38.58222
1983M02,41.31164
1983M03,39.44170
1983M04,40.22608
1983M05,36.62429
1983M06,35.75109
1983M07,39.32697
1983M08,36.51253
1983M09,33.44935
1983M10,33.11821
1983M11,33.17035
1983M12,32.19937
1984M01,29.73044
1984M02,27.75670
1984M03,29.47961
1984M04,28.04213
1984M05,27.05428
1984M06,27.26647
1984M07,26.94182
1984M08,25.69023
1984M09,30.24993
1984M10,28.21643
1984M11,26.39431
1984M12,24.93953
1985M01,23.56316
1985M02,22.78303
1985M03,30.29925
1985M04,28.09153
1985M05,26.28326
1985M06,25.41564
1985M07,25.62002
1985M08,25.29371
1985M09,29.03908
1985M10,27.79069
1985M11,26.15144
1985M12,26.39796
1986M01,27.64915
1986M02,26.30466
1986M03,24.66587
1986M04,26.93518
1986M05,25.79769
1986M06,24.25841
1986M07,23.02232
1986M08,22.24025
